ticket_no,subculture,day1,day2,day3,change
2111,Metalhead,2.65,1.35,1.61,-1.0399999999999998
2229,Raver,0.97,1.41,0.29,-0.6799999999999999
2338,No subculture,0.84,NA,NA,NA
2384,Raver,3.03,NA,NA,NA
2401,No subculture,0.88,0.08,NA,NA
2405,Raver,0.85,NA,NA,NA
2467,Hipster,1.56,NA,NA,NA
2478,Hipster,3.02,NA,NA,NA
2490,Raver,2.29,NA,NA,NA
2504,No subculture,1.11,0.44,0.55,-0.56
2509,No subculture,2.17,NA,NA,NA
2510,Raver,0.82,0.2,0.47,-0.35
2514,Metalhead,1.41,NA,NA,NA
2515,No subculture,1.76,1.64,1.58,-0.17999999999999994
2520,No subculture,1.38,0.02,NA,NA
2521,Raver,2.79,NA,NA,NA
2529,Raver,1.5,NA,NA,NA
2533,Metalhead,1.91,2.05,NA,NA
2535,Metalhead,2.32,NA,NA,NA
2538,No subculture,2.05,NA,NA,NA
2549,Raver,2.17,0.7,0.76,-1.41
2551,No subculture,2.05,NA,NA,NA
2558,No subculture,1.61,NA,NA,NA
2562,No subculture,1.66,0.85,NA,NA
2565,Hipster,2.3,NA,NA,NA
2566,No subculture,2.76,NA,NA,NA
2568,Raver,1.44,NA,NA,NA
2586,Metalhead,1.06,NA,NA,NA
2601,Raver,3.23,NA,NA,NA
2602,Hipster,0.97,0.38,0.76,-0.20999999999999996
2604,Raver,2.57,0.11,0.02,-2.55
2606,Raver,0.26,NA,NA,NA
2609,Raver,0.47,NA,NA,NA
2611,No subculture,1.73,NA,NA,NA
2612,No subculture,1.94,0.82,1.67,-0.27
2616,Raver,1.91,NA,NA,NA
2624,No subculture,2.08,0.91,0.96,-1.12
2633,Raver,1.91,NA,NA,NA
2642,No subculture,1.42,NA,NA,NA
2644,No subculture,1.5,NA,NA,NA
2662,Metalhead,0.11,NA,NA,NA
2663,Raver,1.67,NA,NA,NA
2664,No subculture,2.08,NA,NA,NA
2669,No subculture,2.05,NA,NA,NA
2670,Metalhead,2,NA,NA,NA
2675,No subculture,1.52,NA,NA,NA
2676,Metalhead,1.58,NA,NA,NA
2677,Hipster,1.28,0.38,0.14,-1.1400000000000001
2681,No subculture,1.88,NA,NA,NA
2685,No subculture,1.32,NA,NA,NA
2686,No subculture,2.09,NA,NA,NA
2687,Metalhead,2,NA,NA,NA
2688,Hipster,2.64,NA,NA,NA
2689,No subculture,0.85,0.32,0.52,-0.32999999999999996
2692,Hipster,2.47,0.23,0.38,-2.0900000000000003
2698,Raver,1.79,NA,NA,NA
2709,Hipster,1.64,NA,NA,NA
2710,No subculture,1.32,NA,NA,NA
2712,Metalhead,2.97,NA,NA,NA
2726,Metalhead,1.44,0.14,NA,NA
2727,No subculture,2.02,NA,NA,NA
2728,Metalhead,1.79,NA,NA,NA
2730,No subculture,1.34,NA,NA,NA
2731,Raver,2.29,1.9,NA,NA
