id,stats,gcse
wbmew,First class,A
ypusy,First class,A
sbumv,First class,C
wqicp,Upper second class,C
xnobi,Upper second class,C
glxdw,Upper second class,D
eomcn,Upper second class,E
bjhcl,Lower second class,A
wcype,Lower second class,B
grkvu,Lower second class,C
xjmdr,Lower second class,C
tbjaf,Lower second class,D
lrrhr,Lower second class,D
jjohu,Third class,B
ujgng,Third class,B
yyeoa,Third class,B
levkv,Pass,C
fvjqs,Pass,C
lwani,Pass,E
winta,Pass,F
gnaqa,Fail,D
ejxpi,Fail,E
unvnh,Fail,D
tcplg,Fail,D
taejn,Fail,D
