id,strategy,success_pre,success_post
1,Hard work,53,74
2,Hard work,62,67
3,Hard work,52,33
4,Hard work,57,62
5,Hard work,55,44
6,Hard work,52,65
7,Hard work,45,54
8,Hard work,46,86
9,Hard work,49,72
10,Hard work,44,66
11,Hard work,72,78
12,Hard work,55,89
13,Hard work,57,44
14,Hard work,42,79
15,Hard work,48,65
16,Hard work,59,74
17,Hard work,42,59
18,Hard work,36,55
19,Hard work,56,22
20,Hard work,55,70
21,Hard work,49,19
22,Hard work,59,92
23,Hard work,47,79
24,Hard work,62,76
25,Hard work,44,100
26,Hard work,38,84
27,Hard work,61,55
28,Hard work,52,93
29,Hard work,39,51
30,Hard work,47,98
31,Hard work,37,26
32,Hard work,46,44
33,Hard work,53,73
34,Hard work,62,43
35,Hard work,68,73
36,Hard work,62,78
37,Hard work,35,26
38,Hard work,49,76
39,Hard work,45,25
40,Hard work,39,79
41,Hard work,56,78
42,Hard work,58,50
43,Hard work,40,85
44,Hard work,59,76
45,Hard work,58,82
46,Hard work,45,62
47,Hard work,50,92
48,Hard work,50,74
49,Hard work,44,61
50,Hard work,52,82
51,Hard work,43,84
52,Hard work,63,49
53,Hard work,30,77
54,Hard work,43,57
55,Hard work,30,30
56,Hard work,50,31
57,Hard work,55,52
58,Hard work,24,84
59,Hard work,40,82
60,Hard work,59,63
61,Hard work,58,65
62,Hard work,54,34
63,Hard work,52,66
64,Hard work,41,60
65,Hard work,55,82
66,Hard work,51,40
67,Hard work,39,80
68,Hard work,42,72
69,Hard work,52,48
70,Hard work,70,86
71,Hard work,54,65
72,Hard work,62,25
73,Hard work,44,49
74,Hard work,39,54
75,Hard work,49,87
76,Hard work,55,93
77,Hard work,45,25
78,Hard work,60,47
79,Hard work,58,37
80,Hard work,65,61
81,Hard work,51,80
82,Hard work,36,80
83,Hard work,58,82
84,Hard work,54,53
85,Hard work,52,93
86,Hard work,50,91
87,Hard work,23,79
88,Hard work,52,71
89,Hard work,65,71
90,Hard work,54,36
91,Hard work,40,68
92,Hard work,77,98
93,Hard work,51,87
94,Hard work,39,2
95,Hard work,39,79
96,Hard work,48,86
97,Hard work,42,88
98,Hard work,39,90
99,Hard work,48,65
100,Hard work,48,94
101,Hard work,44,39
102,Hard work,55,66
103,Hard work,67,30
104,Hard work,44,45
105,Hard work,39,93
106,Hard work,48,60
107,Hard work,59,44
108,Hard work,60,70
109,Hard work,66,63
110,Hard work,50,49
111,Hard work,50,88
112,Hard work,48,91
113,Hard work,64,46
114,Hard work,52,90
115,Hard work,45,50
116,Hard work,55,46
117,Hard work,33,38
118,Hard work,53,83
119,Hard work,45,82
120,Hard work,51,53
121,Hard work,54,52
122,Hard work,57,62
123,Hard work,57,57
124,Hard work,46,94
125,Hard work,42,90
126,Wish upon a star,37,58
127,Wish upon a star,45,39
128,Wish upon a star,56,28
129,Wish upon a star,78,46
130,Wish upon a star,52,61
131,Wish upon a star,42,69
132,Wish upon a star,42,62
133,Wish upon a star,51,50
134,Wish upon a star,51,37
135,Wish upon a star,45,45
136,Wish upon a star,61,38
137,Wish upon a star,46,46
138,Wish upon a star,39,57
139,Wish upon a star,42,57
140,Wish upon a star,52,28
141,Wish upon a star,57,59
142,Wish upon a star,32,57
143,Wish upon a star,52,45
144,Wish upon a star,69,55
145,Wish upon a star,46,41
146,Wish upon a star,56,54
147,Wish upon a star,52,36
148,Wish upon a star,50,47
149,Wish upon a star,38,51
150,Wish upon a star,63,39
151,Wish upon a star,52,42
152,Wish upon a star,59,49
153,Wish upon a star,66,53
154,Wish upon a star,46,47
155,Wish upon a star,38,41
156,Wish upon a star,52,32
157,Wish upon a star,45,26
158,Wish upon a star,47,41
159,Wish upon a star,60,45
160,Wish upon a star,56,45
161,Wish upon a star,63,46
162,Wish upon a star,47,60
163,Wish upon a star,45,61
164,Wish upon a star,50,51
165,Wish upon a star,52,48
166,Wish upon a star,62,33
167,Wish upon a star,63,48
168,Wish upon a star,52,56
169,Wish upon a star,52,42
170,Wish upon a star,54,54
171,Wish upon a star,49,68
172,Wish upon a star,58,31
173,Wish upon a star,76,44
174,Wish upon a star,60,40
175,Wish upon a star,43,47
176,Wish upon a star,29,48
177,Wish upon a star,43,45
178,Wish upon a star,52,65
179,Wish upon a star,37,45
180,Wish upon a star,40,55
181,Wish upon a star,62,46
182,Wish upon a star,47,56
183,Wish upon a star,65,58
184,Wish upon a star,53,59
185,Wish upon a star,35,56
186,Wish upon a star,54,42
187,Wish upon a star,63,58
188,Wish upon a star,52,51
189,Wish upon a star,51,44
190,Wish upon a star,50,35
191,Wish upon a star,38,55
192,Wish upon a star,39,56
193,Wish upon a star,45,48
194,Wish upon a star,45,53
195,Wish upon a star,45,51
196,Wish upon a star,47,44
197,Wish upon a star,49,42
198,Wish upon a star,43,46
199,Wish upon a star,46,52
200,Wish upon a star,35,45
201,Wish upon a star,48,52
202,Wish upon a star,55,53
203,Wish upon a star,55,41
204,Wish upon a star,63,80
