id,grade,age,sex,status,attractive,fashion,glamour,cool,profile,extraversion,narcissism
2,Sec 1,13,Male,1,2,2,2,2,8,40,31
3,Sec 1,13,Male,1,2,2,2,2,8,39,37
4,Sec 1,13,Male,0.06,NA,NA,NA,NA,NA,38,16
5,Sec 1,13,Male,0,NA,NA,NA,NA,NA,26,26
6,Sec 1,13,Male,1,3,3,3,3,12,51,44.47
7,Sec 1,13,Male,0.25,1,3,3,3,10,44,30
8,Sec 1,13,Female,NA,4,3,4,3,14,38,28
9,Sec 1,13,Female,NA,NA,NA,NA,NA,NA,46,23
10,Sec 1,13,Male,0.02,NA,NA,NA,NA,NA,38,15
11,Sec 1,13,Male,7,NA,NA,NA,NA,NA,58,55
12,Sec 1,13,Female,0,NA,NA,NA,NA,NA,39,21
14,Sec 1,13,Male,1,NA,NA,NA,NA,NA,46,41
15,Sec 1,13,Male,3.5,5,5,5,5,20,48,42
16,Sec 1,13,Female,NA,3,3,3,3,12,36.76,23.47
17,Sec 1,13,Female,0.5,2,1,2,2,7,30,28
18,Sec 1,13,Female,1,NA,NA,NA,NA,NA,26,29
19,Sec 1,13,Female,0.25,NA,NA,NA,NA,NA,42,15
20,Sec 1,13,Female,1,3,3,3,3,12,49,44
22,Sec 1,13,Male,0.25,NA,NA,NA,NA,NA,41,27
24,Sec 1,13,Male,7,NA,NA,NA,NA,NA,29,30
25,Sec 1,13,Female,1,4,5,4,2,15,57,40
26,Sec 1,13,Female,3.5,3,3,3,3,12,39,32.46
27,Sec 1,13,Male,0,1,1,1,5,8,35,24
28,Sec 1,13,Male,7,3,3,4,3,13,40,38
29,Sec 1,13,Male,0,3,3,3,3,12,32,19
30,Sec 1,13,Male,1,NA,NA,NA,NA,NA,48.76,32
31,Sec 1,13,Male,7,3,3,3,3,12,36,22
32,Sec 1,13,Male,0,3,3,3,3,12,47,48
34,Sec 1,13,Male,0,NA,NA,NA,NA,NA,31,24
36,Sec 1,13,Female,0.25,NA,NA,NA,NA,NA,49,36
37,Sec 1,13,Male,1,1,1,1,1,4,40,22
38,Sec 1,13,Female,1,3,2,2,2,9,35,26
39,Sec 1,13,Female,7,3,3,3,3,12,60,33
41,Sec 1,13,Female,NA,3,3,3,3,12,38,26
42,Sec 1,13,Female,NA,3,2,3,5,13,37,22
43,Sec 1,13,Female,7,3,3,3,3,12,50,31
44,Sec 1,13,Female,7,4,5,4,4,17,43,50
45,Sec 1,13,Male,1,NA,NA,NA,NA,NA,37,39
46,Sec 1,13,Female,7,4,3,3,3,13,46,37
48,Sec 1,13,Male,0.5,NA,NA,NA,NA,NA,47,24
56,Sec 2,14,Male,0.25,NA,NA,NA,NA,NA,37,38
57,Sec 2,14,Female,2.33,NA,NA,NA,NA,NA,43,26
58,Sec 2,14,NA,0,NA,NA,NA,NA,NA,42,29
61,Sec 2,14,Male,7,NA,NA,NA,NA,NA,40,42
62,Sec 2,14,Female,0.5,3,2,2,2,9,51,30
63,Sec 2,14,Female,0.5,4,2,3,5,14,43,33
64,Sec 2,14,Female,1,NA,NA,NA,NA,NA,45,42.52
65,Sec 2,14,Female,1,3,3,4,3,13,50,38
67,Sec 2,14,Female,7,NA,NA,NA,NA,NA,40,36
68,Sec 2,14,Female,NA,3,4,4,4,15,48,30
70,Sec 2,14,Female,0.5,2,2,2,3,9,50,45
71,Sec 2,14,Male,0,NA,NA,NA,NA,NA,42,33
72,Sec 2,14,Female,3.5,1,1,1,1,4,47,23
74,Sec 2,14,Female,0.75,3,3,3,2,11,51,30
75,Sec 2,14,Female,0.08,3,3,3,3,12,49,39
76,Sec 2,14,Female,3,1,2,1,1,5,37,21
77,Sec 2,14,Male,1,NA,NA,NA,NA,NA,38,20
78,Sec 2,14,Male,0,NA,NA,NA,NA,NA,49,33
79,Sec 2,14,Female,7,3,3,3,4,13,48,31
80,Sec 2,14,Male,0.75,3,3,3,2,11,49,41
81,Sec 2,14,Male,2,NA,NA,NA,NA,NA,37,33
82,Sec 2,14,Male,0,3,1,1,2,7,46,38
83,Sec 2,14,Male,0,NA,NA,NA,NA,NA,44,23
84,Sec 2,14,Female,0.25,NA,NA,NA,NA,NA,38,17
89,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,45,35
90,Sec 3,15,Female,2,3,2,2,3,10,52,35
91,Sec 3,15,Male,7,2,2,2,2,8,39,26
93,Sec 3,15,Female,3.5,3,5,3,5,16,44.16,35
95,Sec 3,15,Male,0.25,4,2,3,4,13,51,48
96,Sec 3,15,Female,0.5,2,2,1,3,8,38,23
97,Sec 3,15,Male,0.25,5,3,4,4,16,54,41
98,Sec 3,15,Female,NA,3,3,3,3,12,47.87,36
99,Sec 3,15,Female,0.5,3,3,3,3,12,50,29
100,Sec 3,15,Female,2,2,3,2,3,10,47,34
101,Sec 3,15,Female,7,3,4,3,4,14,57,50
102,Sec 3,15,Male,1,3,3,3,4,13,42,36
103,Sec 3,15,Female,1,3,3,3,3,12,43,27
105,Sec 3,15,Female,0.5,3,3,3,3,12,44,31
106,Sec 3,15,Female,0.75,4,3,4,3,14,48,35
107,Sec 3,15,Female,0.25,3,2,2,2,9,45,25
108,Sec 3,15,Female,1,3,3,3,3,12,45,23
109,Sec 3,15,Female,0,1,1,1,3,6,44,32
110,Sec 3,15,Male,1,3,3,3,4,13,45,32
111,Sec 3,15,Female,1.25,3,3,3,3,12,47,32
112,Sec 3,15,Female,1,3,3,2,3,11,44,25
113,Sec 3,15,Male,1,3,3,3,2,11,38,36
114,Sec 3,15,Female,3.5,3,3,3,3,12,44,37
115,Sec 3,15,Female,0.5,3,3,3,3,12,40,33
116,Sec 3,15,Female,1,2,2,2,2,8,41,19
117,Sec 3,15,Female,1,2,1,1,1,5,38,25
118,Sec 3,15,Female,0.5,2,1,2,1,6,35,36
119,Sec 3,15,Female,0.5,3,3,3,3,12,42,33
120,Sec 3,15,Male,0.5,3,3,3,3,12,44,29
139,Sec 1,12,Male,0.5,1,1,1,1,4,40,31
140,Sec 1,13,Male,NA,NA,NA,NA,NA,NA,53,37
141,Sec 1,12,Female,3,NA,NA,NA,NA,NA,42,45
142,Sec 1,14,Male,0,NA,NA,NA,NA,NA,33,30
143,Sec 1,13,Female,2,3,3,3,3,12,43,34
144,Sec 1,13,Female,0.083,5,5,4,4,18,47,34
145,Sec 1,13,Female,0.5,1,1,1,1,4,41,26
146,Sec 1,13,Female,0.5,1,2,1,3,7,43,20
147,Sec 1,13,Male,1,2,3,3,4,12,39,36.41
148,Sec 1,13,Male,7,5,5,5,5,20,45,28.46
149,Sec 1,13,Female,7,4,3,3,5,15,52,45
150,Sec 1,13,Female,1.75,2,3,2,3,10,52,28
151,Sec 1,NA,Male,2,NA,NA,NA,NA,NA,45,53
152,Sec 1,12,Female,2,3,2,3,2,10,46,29
153,Sec 1,13,Female,7,NA,NA,NA,NA,NA,44,44
154,Sec 1,14,Male,1,3,3,3,3,12,39,36
156,Sec 1,13,Female,7,3,1,2,3,9,40,42
157,Sec 1,13,Male,0.5,2,2,2,1,7,46,27.44
158,Sec 1,13,Male,7,2,2,1,2,7,33,23
159,Sec 1,13,Male,NA,NA,NA,NA,NA,NA,41,34
160,Sec 1,NA,Female,0.5,2,1,1,2,6,48,40.52
161,Sec 1,14,Male,NA,NA,NA,NA,NA,NA,38,28
164,Sec 3,17,Male,1,3,4,3,3,13,41,41
165,Sec 3,15,Female,0.25,1,1,1,1,4,38,17
166,Sec 3,15,Female,0,NA,NA,NA,NA,NA,42,17
167,Sec 3,15,Female,7,3,3,2,3,11,47,39
168,Sec 3,15,Female,7,3,3,3,3,12,35,24
170,Sec 3,15,Male,0,3,4,3,5,15,48,50
171,Sec 3,15,Male,NA,NA,NA,NA,NA,NA,46,36
172,Sec 3,15,Male,2,3,3,3,3,12,36,35
173,Sec 3,15,Female,4,1,2,1,1,5,34,21
174,Sec 3,18,Male,0,2,3,2,2,9,34,28
175,Sec 3,15,Female,7,3,3,3,3,12,35,22
176,Sec 3,14,Female,0.25,3,3,3,3,12,47,35
177,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,36,18
178,Sec 3,15,Male,0.042,4,4,4,4,16,46,29
