id,age,sex,status,profile,extraversion,narcissism,rating_type,rating
2,13,M,1,8,40,31,Attractiveness,2
3,13,M,1,8,39,37,Attractiveness,2
4,13,M,0.06,NA,38,16,Attractiveness,NA
5,13,M,0,NA,26,26,Attractiveness,NA
6,13,M,1,12,51,44.47,Attractiveness,3
7,13,M,0.25,10,44,30,Attractiveness,1
8,13,F,NA,14,38,28,Attractiveness,4
9,13,F,NA,NA,46,23,Attractiveness,NA
10,13,M,0.02,NA,38,15,Attractiveness,NA
11,13,M,7,NA,58,55,Attractiveness,NA
12,13,F,0,NA,39,21,Attractiveness,NA
14,13,M,1,NA,46,41,Attractiveness,NA
15,13,M,3.5,20,48,42,Attractiveness,5
16,13,F,NA,12,36.76,23.47,Attractiveness,3
17,13,F,0.5,7,30,28,Attractiveness,2
18,13,F,1,NA,26,29,Attractiveness,NA
19,13,F,0.25,NA,42,15,Attractiveness,NA
20,13,F,1,12,49,44,Attractiveness,3
22,13,M,0.25,NA,41,27,Attractiveness,NA
24,13,M,7,NA,29,30,Attractiveness,NA
25,13,F,1,15,57,40,Attractiveness,4
26,13,F,3.5,12,39,32.46,Attractiveness,3
27,13,M,0,8,35,24,Attractiveness,1
28,13,M,7,13,40,38,Attractiveness,3
29,13,M,0,12,32,19,Attractiveness,3
30,13,M,1,NA,48.76,32,Attractiveness,NA
31,13,M,7,12,36,22,Attractiveness,3
32,13,M,0,12,47,48,Attractiveness,3
34,13,M,0,NA,31,24,Attractiveness,NA
36,13,F,0.25,NA,49,36,Attractiveness,NA
37,13,M,1,4,40,22,Attractiveness,1
38,13,F,1,9,35,26,Attractiveness,3
39,13,F,7,12,60,33,Attractiveness,3
41,13,F,NA,12,38,26,Attractiveness,3
42,13,F,NA,13,37,22,Attractiveness,3
43,13,F,7,12,50,31,Attractiveness,3
44,13,F,7,17,43,50,Attractiveness,4
45,13,M,1,NA,37,39,Attractiveness,NA
46,13,F,7,13,46,37,Attractiveness,4
48,13,M,0.5,NA,47,24,Attractiveness,NA
56,14,M,0.25,NA,37,38,Attractiveness,NA
57,14,F,2.33,NA,43,26,Attractiveness,NA
58,14,NA,0,NA,42,29,Attractiveness,NA
61,14,M,7,NA,40,42,Attractiveness,NA
62,14,F,0.5,9,51,30,Attractiveness,3
63,14,F,0.5,14,43,33,Attractiveness,4
64,14,F,1,NA,45,42.52,Attractiveness,NA
65,14,F,1,13,50,38,Attractiveness,3
67,14,F,7,NA,40,36,Attractiveness,NA
68,14,F,NA,15,48,30,Attractiveness,3
70,14,F,0.5,9,50,45,Attractiveness,2
71,14,M,0,NA,42,33,Attractiveness,NA
72,14,F,3.5,4,47,23,Attractiveness,1
74,14,F,0.75,11,51,30,Attractiveness,3
75,14,F,0.08,12,49,39,Attractiveness,3
76,14,F,3,5,37,21,Attractiveness,1
77,14,M,1,NA,38,20,Attractiveness,NA
78,14,M,0,NA,49,33,Attractiveness,NA
79,14,F,7,13,48,31,Attractiveness,3
80,14,M,0.75,11,49,41,Attractiveness,3
81,14,M,2,NA,37,33,Attractiveness,NA
82,14,M,0,7,46,38,Attractiveness,3
83,14,M,0,NA,44,23,Attractiveness,NA
84,14,F,0.25,NA,38,17,Attractiveness,NA
89,15,F,0.25,NA,45,35,Attractiveness,NA
90,15,F,2,10,52,35,Attractiveness,3
91,15,M,7,8,39,26,Attractiveness,2
93,15,F,3.5,16,44.16,35,Attractiveness,3
95,15,M,0.25,13,51,48,Attractiveness,4
96,15,F,0.5,8,38,23,Attractiveness,2
97,15,M,0.25,16,54,41,Attractiveness,5
98,15,F,NA,12,47.87,36,Attractiveness,3
99,15,F,0.5,12,50,29,Attractiveness,3
100,15,F,2,10,47,34,Attractiveness,2
