id,book,happiness
ptip,Self-help book,28
yicq,Self-help book,10
dpby,Self-help book,21
enuk,Self-help book,27
hkaw,Self-help book,24
aubu,Self-help book,18
kffv,Self-help book,19
srvj,Self-help book,11
ijqn,Self-help book,38
nbxn,Self-help book,13
lsrs,Self-help book,33
qfrg,Self-help book,4
cipi,Self-help book,10
asey,Self-help book,7
kwnm,Self-help book,34
lrpq,Self-help book,15
wwhn,Self-help book,36
gkpu,Self-help book,31
aldo,Self-help book,45
bcgv,Self-help book,11
ukht,Self-help book,30
wusi,Self-help book,17
dily,Self-help book,33
ppvl,Self-help book,14
rlbk,Self-help book,16
bobk,Self-help book,26
iqrf,Self-help book,12
gaar,Self-help book,22
dvjr,Self-help book,35
hifb,Self-help book,36
tpsm,Self-help book,5
nsaw,Self-help book,24
gkcf,Self-help book,15
sxyb,Self-help book,11
vfji,Self-help book,13
rvxd,Self-help book,14
eawf,Self-help book,43
quch,Self-help book,9
fxpo,Self-help book,-2
nelp,Self-help book,19
pvao,Self-help book,18
qiav,Self-help book,12
bpoq,Self-help book,26
uesy,Self-help book,23
pqkm,Self-help book,10
huff,Self-help book,25
dfjt,Self-help book,22
fxgb,Self-help book,14
rrri,Self-help book,25
xlqq,Self-help book,10
bdys,Self-help book,18
mrww,Self-help book,16
xvgb,Self-help book,15
cuyg,Self-help book,15
wexj,Self-help book,25
qebn,Self-help book,25
lamh,Self-help book,18
ouav,Self-help book,25
ujgr,Self-help book,13
qacy,Self-help book,9
iexq,Self-help book,22
mtsa,Self-help book,15
fcmb,Self-help book,21
nfkb,Self-help book,36
exgm,Self-help book,11
mhfw,Self-help book,33
clbq,Self-help book,10
sikk,Self-help book,11
xsdv,Self-help book,29
whbv,Self-help book,4
lony,Self-help book,13
cnua,Self-help book,20
yerm,Self-help book,30
mbdk,Self-help book,6
qojl,Self-help book,21
ycjx,Self-help book,5
ghdi,Self-help book,18
pnsy,Self-help book,27
lwgq,Self-help book,40
yrta,Self-help book,5
lrvl,Self-help book,22
eukk,Self-help book,18
irij,Self-help book,8
qxjc,Self-help book,17
alqa,Self-help book,3
ggdo,Self-help book,37
bpng,Self-help book,29
uohu,Self-help book,25
skgg,Self-help book,18
xind,Self-help book,8
tpwh,Self-help book,22
pdvu,Self-help book,16
qdnj,Self-help book,18
ypgu,Self-help book,25
okbd,Self-help book,2
sedy,Self-help book,7
dyfu,Self-help book,16
jriq,Self-help book,13
trbs,Self-help book,27
hgtw,Self-help book,24
neqv,Self-help book,20
obou,Self-help book,36
rjas,Self-help book,20
qxkt,Self-help book,24
cqtg,Self-help book,31
bysj,Self-help book,15
qwme,Self-help book,14
kjcg,Self-help book,19
uumg,Self-help book,27
lpvw,Self-help book,11
yvrq,Self-help book,24
cjku,Self-help book,28
rpwu,Self-help book,26
uhes,Self-help book,8
qqas,Self-help book,-10
pfnd,Self-help book,4
sqom,Self-help book,33
fouy,Self-help book,21
yxgl,Self-help book,20
glej,Self-help book,26
byoy,Self-help book,10
ykni,Self-help book,45
vynd,Self-help book,0
mfdh,Self-help book,15
pfws,Self-help book,19
giul,Self-help book,13
pcfd,Self-help book,20
http,Self-help book,16
detm,Self-help book,18
pfla,Self-help book,22
iguf,Self-help book,12
eekr,Self-help book,30
dmek,Self-help book,12
gpvf,Self-help book,7
