id,media_use,time,grammar
xcvr,Encouraged,Baseline,52
cweo,Encouraged,Baseline,68
fstj,Encouraged,Baseline,85
jwfr,Encouraged,Baseline,47
pqju,Encouraged,Baseline,73
seew,Encouraged,Baseline,57
lfdl,Encouraged,Baseline,63
icid,Encouraged,Baseline,50
esd,Encouraged,Baseline,66
jnjv,Encouraged,Baseline,60
aorr,Encouraged,Baseline,51
ygox,Encouraged,Baseline,72
axun,Encouraged,Baseline,77
pmit,Encouraged,Baseline,57
udwd,Encouraged,Baseline,79
uksd,Encouraged,Baseline,75
btao,Encouraged,Baseline,53
qjoe,Encouraged,Baseline,72
swtd,Encouraged,Baseline,62
wqrh,Encouraged,Baseline,71
dowc,Encouraged,Baseline,53
txet,Encouraged,Baseline,64
vhbc,Encouraged,Baseline,79
xxhr,Encouraged,Baseline,75
pni,Encouraged,Baseline,60
vcmp,Banned,Baseline,65
gdbp,Banned,Baseline,57
njqn,Banned,Baseline,66
eurv,Banned,Baseline,71
ajlx,Banned,Baseline,75
exxi,Banned,Baseline,61
oga,Banned,Baseline,80
awrx,Banned,Baseline,66
bgmj,Banned,Baseline,53
axyi,Banned,Baseline,62
pinw,Banned,Baseline,61
ekxq,Banned,Baseline,77
rhfq,Banned,Baseline,66
ofsm,Banned,Baseline,52
rfky,Banned,Baseline,60
qerb,Banned,Baseline,58
ajot,Banned,Baseline,54
nghf,Banned,Baseline,72
ese,Banned,Baseline,71
grld,Banned,Baseline,87
cjtd,Banned,Baseline,75
uvcl,Banned,Baseline,57
ohhl,Banned,Baseline,59
obpx,Banned,Baseline,46
icex,Banned,Baseline,89
xcvr,Encouraged,6 months,32
cweo,Encouraged,6 months,48
fstj,Encouraged,6 months,62
jwfr,Encouraged,6 months,16
pqju,Encouraged,6 months,63
seew,Encouraged,6 months,53
lfdl,Encouraged,6 months,59
icid,Encouraged,6 months,58
esd,Encouraged,6 months,59
jnjv,Encouraged,6 months,57
aorr,Encouraged,6 months,60
ygox,Encouraged,6 months,56
axun,Encouraged,6 months,61
pmit,Encouraged,6 months,52
udwd,Encouraged,6 months,9
uksd,Encouraged,6 months,76
btao,Encouraged,6 months,38
qjoe,Encouraged,6 months,63
swtd,Encouraged,6 months,53
wqrh,Encouraged,6 months,61
dowc,Encouraged,6 months,50
txet,Encouraged,6 months,78
vhbc,Encouraged,6 months,33
xxhr,Encouraged,6 months,68
pni,Encouraged,6 months,59
vcmp,Banned,6 months,62
gdbp,Banned,6 months,50
njqn,Banned,6 months,62
eurv,Banned,6 months,61
ajlx,Banned,6 months,70
exxi,Banned,6 months,64
oga,Banned,6 months,64
awrx,Banned,6 months,55
bgmj,Banned,6 months,47
axyi,Banned,6 months,61
pinw,Banned,6 months,56
ekxq,Banned,6 months,64
rhfq,Banned,6 months,62
ofsm,Banned,6 months,47
rfky,Banned,6 months,56
qerb,Banned,6 months,78
ajot,Banned,6 months,74
nghf,Banned,6 months,61
ese,Banned,6 months,61
grld,Banned,6 months,78
cjtd,Banned,6 months,62
uvcl,Banned,6 months,71
ohhl,Banned,6 months,55
obpx,Banned,6 months,46
icex,Banned,6 months,79
