id,urgency,ll_sum
ejfpfy,High urgency (drink everything),6
wvljuq,High urgency (drink everything),7
lukbfc,Low urgency (take sips from the water),6
yxoifo,High urgency (drink everything),3
rqiiqk,Low urgency (take sips from the water),3
kgleod,High urgency (drink everything),5
cxcvyv,Low urgency (take sips from the water),3
ahlaqo,High urgency (drink everything),7
gwsaqq,Low urgency (take sips from the water),2
vsgdan,High urgency (drink everything),5
tiqrhp,Low urgency (take sips from the water),5
rqhbky,Low urgency (take sips from the water),7
qnmhux,High urgency (drink everything),2
dlkaal,Low urgency (take sips from the water),7
wpqnpu,High urgency (drink everything),4
vsylgy,Low urgency (take sips from the water),3
rdrnam,High urgency (drink everything),4
orexbt,Low urgency (take sips from the water),0
vnahpi,High urgency (drink everything),7
rkvria,Low urgency (take sips from the water),3
oosumh,Low urgency (take sips from the water),2
pawgnu,High urgency (drink everything),3
wbwmbs,Low urgency (take sips from the water),4
ykpdwk,High urgency (drink everything),3
kaikmq,Low urgency (take sips from the water),4
pfojlg,High urgency (drink everything),3
aimryp,High urgency (drink everything),4
wvobiv,Low urgency (take sips from the water),2
sinhsu,Low urgency (take sips from the water),3
cacfvg,High urgency (drink everything),5
jhxdgh,High urgency (drink everything),5
htirrh,Low urgency (take sips from the water),4
wxojmc,High urgency (drink everything),3
ygqcff,High urgency (drink everything),5
yejvyt,Low urgency (take sips from the water),3
poutuv,Low urgency (take sips from the water),4
delhdv,High urgency (drink everything),3
tniwcc,High urgency (drink everything),6
krwkoo,Low urgency (take sips from the water),7
wyuqiw,High urgency (drink everything),3
ntjwra,Low urgency (take sips from the water),3
nnqehr,High urgency (drink everything),3
albhvr,Low urgency (take sips from the water),4
eiallq,High urgency (drink everything),7
owwrbf,Low urgency (take sips from the water),4
qcfrif,High urgency (drink everything),4
lvgjhl,Low urgency (take sips from the water),2
hyjnpc,High urgency (drink everything),4
yglyhu,Low urgency (take sips from the water),7
btdqvi,High urgency (drink everything),3
hfvyyk,Low urgency (take sips from the water),3
ftlupu,Low urgency (take sips from the water),3
ruxgwm,High urgency (drink everything),3
ewrvvi,Low urgency (take sips from the water),5
pywptw,Low urgency (take sips from the water),3
pyujdv,Low urgency (take sips from the water),4
casxhy,High urgency (drink everything),3
yinotj,High urgency (drink everything),7
wgrglb,Low urgency (take sips from the water),4
apejif,High urgency (drink everything),5
twnpcg,High urgency (drink everything),5
vlkvgf,Low urgency (take sips from the water),3
kpkjyh,High urgency (drink everything),5
oyhvwu,High urgency (drink everything),5
hdvqrw,High urgency (drink everything),2
okqytp,Low urgency (take sips from the water),4
rmsojg,High urgency (drink everything),7
moifol,Low urgency (take sips from the water),5
hkojgi,High urgency (drink everything),2
hhpdfk,Low urgency (take sips from the water),5
wfwdae,High urgency (drink everything),2
mwklgm,Low urgency (take sips from the water),4
ytdsim,High urgency (drink everything),4
yolvhm,Low urgency (take sips from the water),3
kmacfo,High urgency (drink everything),6
bsmtoj,Low urgency (take sips from the water),3
uyuuau,Low urgency (take sips from the water),3
naaowo,High urgency (drink everything),6
vsnsfu,Low urgency (take sips from the water),3
nlgynn,Low urgency (take sips from the water),3
jdlvvr,High urgency (drink everything),7
gcrpcb,Low urgency (take sips from the water),4
sufpin,Low urgency (take sips from the water),3
tanito,High urgency (drink everything),6
mcelbj,Low urgency (take sips from the water),2
lxtqnf,Low urgency (take sips from the water),3
lfplqh,Low urgency (take sips from the water),4
wwqxse,Low urgency (take sips from the water),3
xyshhx,High urgency (drink everything),5
hqfola,Low urgency (take sips from the water),7
xcwllk,Low urgency (take sips from the water),3
gglebn,High urgency (drink everything),3
oqkwfx,Low urgency (take sips from the water),5
owopun,High urgency (drink everything),6
mwawqx,Low urgency (take sips from the water),4
xfohyp,High urgency (drink everything),5
uvoyrp,Low urgency (take sips from the water),6
tlysux,High urgency (drink everything),7
mwthjc,High urgency (drink everything),3
thioyu,Low urgency (take sips from the water),5
vfikrb,High urgency (drink everything),3
fjotwv,High urgency (drink everything),4
